prt1,prt2,momid,partner,samples,inf,lact_residence,doc_next_infant,doc_infant,dob_infant,day_resumecycle,realdad,nextdad,score_lac,male_dob,DSI,dyad,PHG,dyad_index,prt1_index,prt2_index
pz,fx,fx,pz,47,go,PHG,6/23/2014,3/9/2013,9/3/2013,4/1/2014,0,0,0.804017304,5/4/2000,0,fx_pz,1,41,17,8
yn,fx,fx,yn,47,go,PHG,6/23/2014,3/9/2013,9/3/2013,4/1/2014,0,0,0.915274596,9/24/2005,0.295865432,fx_yn,1,47,39,8
yr,fx,fx,yr,47,go,PHG,6/23/2014,3/9/2013,9/3/2013,4/1/2014,0,0,0.381200491,5/17/2007,0.003238601,fx_yr,1,48,41,8
bt,fx,fx,bt,42,gz,PHG,NA,10/24/2015,4/19/2016,9/30/2016,1,0,0.839327473,NA,5.963689224,fx_bt,1,34,2,8
jy,fx,fx,jy,42,gz,PHG,NA,10/24/2015,4/19/2016,9/30/2016,0,0,0.790814696,5/4/2006,4.234256749,fx_jy,1,37,10,8
oz,fx,fx,oz,42,gz,PHG,NA,10/24/2015,4/19/2016,9/30/2016,0,0,0.826831643,9/18/2006,0.063729028,fx_oz,1,39,15,8
ph,fx,fx,ph,42,gz,PHG,NA,10/24/2015,4/19/2016,9/30/2016,0,0,0.959089543,9/6/2007,0,fx_ph,1,40,16,8
pz,fx,fx,pz,42,gz,PHG,NA,10/24/2015,4/19/2016,9/30/2016,0,0,0.864957411,5/4/2000,0.010525454,fx_pz,1,41,17,8
ub,fx,fx,ub,42,gz,PHG,NA,10/24/2015,4/19/2016,9/30/2016,0,0,0.00877188,7/9/2010,0.371588263,fx_ub,1,43,28,8
um,fx,fx,um,42,gz,PHG,NA,10/24/2015,4/19/2016,9/30/2016,0,0,0.067641342,5/19/2010,0.422448549,fx_um,1,44,31,8
xh,fx,fx,xh,42,gz,PHG,NA,10/24/2015,4/19/2016,9/30/2016,0,0,0.07436675,6/11/2010,0.31706553,fx_xh,1,46,38,8
bt,oa,oa,bt,56,kf,PHG,NA,9/17/2014,3/14/2015,10/13/2015,0,0,0.731344347,NA,0,oa_bt,1,49,2,11
oa,jy,oa,jy,56,kf,PHG,NA,9/17/2014,3/14/2015,10/13/2015,0,0,0.970283789,5/4/2006,0.646183944,oa_jy,1,50,11,10
oa,oz,oa,oz,56,kf,PHG,NA,9/17/2014,3/14/2015,10/13/2015,0,0,0.919974762,9/18/2006,0,oa_oz,1,51,11,15
oa,ph,oa,ph,56,kf,PHG,NA,9/17/2014,3/14/2015,10/13/2015,0,0,0.222131992,9/6/2007,0.057595246,oa_ph,1,52,11,16
oa,pz,oa,pz,56,kf,PHG,NA,9/17/2014,3/14/2015,10/13/2015,0,0,0.826532903,5/4/2000,3.513930623,oa_pz,1,53,11,17
oa,sn,oa,sn,56,kf,PHG,NA,9/17/2014,3/14/2015,10/13/2015,0,0,0.693835499,NA,0.128620763,oa_sn,1,54,11,23
oa,xc,oa,xc,56,kf,PHG,NA,9/17/2014,3/14/2015,10/13/2015,0,0,0.000261717,7/1/2008,0.095593541,oa_xc,1,55,11,37
bt,oo,oo,bt,35,as,PHG,9/17/2014,3/23/2013,9/17/2013,3/6/2014,0,0,0.769487205,NA,0,oo_bt,1,56,2,13
oo,ez,oo,ez,35,as,PHG,9/17/2014,3/23/2013,9/17/2013,3/6/2014,0,0,0.049996781,8/14/2007,0.214642145,oo_ez,1,57,13,5
oo,fh,oo,fh,35,as,PHG,9/17/2014,3/23/2013,9/17/2013,3/6/2014,0,0,0.352209004,4/26/2007,1.355243663,oo_fh,1,58,13,7
oo,jy,oo,jy,35,as,PHG,9/17/2014,3/23/2013,9/17/2013,3/6/2014,1,0,0.464119991,5/4/2006,0,oo_jy,1,59,13,10
oo,oe,oo,oe,35,as,PHG,9/17/2014,3/23/2013,9/17/2013,3/6/2014,0,0,1,10/30/2004,0,oo_oe,1,60,13,12
oo,ph,oo,ph,35,as,PHG,9/17/2014,3/23/2013,9/17/2013,3/6/2014,0,0,0.006158058,9/6/2007,0.315508676,oo_ph,1,61,13,16
oo,pz,oo,pz,35,as,PHG,9/17/2014,3/23/2013,9/17/2013,3/6/2014,0,0,0.808669958,5/4/2000,0,oo_pz,1,62,13,17
oo,yn,oo,yn,35,as,PHG,9/17/2014,3/23/2013,9/17/2013,3/6/2014,0,0,0.922410597,9/24/2005,2.426890579,oo_yn,1,63,13,39
oo,yr,oo,yr,35,as,PHG,9/17/2014,3/23/2013,9/17/2013,3/6/2014,0,1,0.372196344,5/17/2007,4.636762132,oo_yr,1,64,13,41
bt,oy,oy,bt,79,kn,PHG,7/27/2015,7/12/2013,1/6/2014,8/2/2014,1,0,0.801564323,NA,3.534130549,oy_bt,1,65,2,14
oy,ez,oy,ez,79,kn,PHG,7/27/2015,7/12/2013,1/6/2014,8/2/2014,0,0,0.163285721,8/14/2007,0.008494467,oy_ez,1,66,14,5
oy,jy,oy,jy,79,kn,PHG,7/27/2015,7/12/2013,1/6/2014,8/2/2014,0,1,0.547387002,5/4/2006,0.136883959,oy_jy,1,67,14,10
oy,oe,oy,oe,79,kn,PHG,7/27/2015,7/12/2013,1/6/2014,8/2/2014,0,0,1,10/30/2004,0.068723299,oy_oe,1,68,14,12
oy,oz,oy,oz,79,kn,PHG,7/27/2015,7/12/2013,1/6/2014,8/2/2014,0,0,0.654415874,9/18/2006,0.046486561,oy_oz,1,69,14,15
oy,ph,oy,ph,79,kn,PHG,7/27/2015,7/12/2013,1/6/2014,8/2/2014,0,0,0,9/6/2007,0.46532419,oy_ph,1,70,14,16
oy,pz,oy,pz,79,kn,PHG,7/27/2015,7/12/2013,1/6/2014,8/2/2014,0,0,0.795396408,5/4/2000,0,oy_pz,1,71,14,17
oy,bt,oy,bt,64,kq,PHG,NA,7/27/2015,1/21/2016,9/30/2016,0,0,0.838376466,NA,1.280928106,oy_bt,1,65,14,2
oy,jy,oy,jy,64,kq,PHG,NA,7/27/2015,1/21/2016,9/30/2016,1,0,0.864111909,5/4/2006,2.741821427,oy_jy,1,67,14,10
oy,oz,oy,oz,64,kq,PHG,NA,7/27/2015,1/21/2016,9/30/2016,0,0,0.807995352,9/18/2006,0,oy_oz,1,69,14,15
oy,ph,oy,ph,64,kq,PHG,NA,7/27/2015,1/21/2016,9/30/2016,0,0,0.773963762,9/6/2007,0,oy_ph,1,70,14,16
oy,pz,oy,pz,64,kq,PHG,NA,7/27/2015,1/21/2016,9/30/2016,0,0,0.805057498,5/4/2000,0,oy_pz,1,71,14,17
oy,um,oy,um,64,kq,PHG,NA,7/27/2015,1/21/2016,9/30/2016,0,0,0.057367316,5/19/2010,0.125466648,oy_um,1,72,14,31
oy,xh,oy,xh,64,kq,PHG,NA,7/27/2015,1/21/2016,9/30/2016,0,0,0.064513073,6/11/2010,0.170856815,oy_xh,1,73,14,38
jj,qc,qc,jj,58,qo,ENK,NA,4/1/2015,9/26/2015,5/5/2016,0,0,0.218057269,11/20/2006,0.18744686,qc_jj,0,74,9,18
qc,s1,qc,s1,58,qo,ENK,NA,4/1/2015,9/26/2015,5/5/2016,0,0,0.009769367,NA,0.124145794,qc_s1,0,75,18,21
qc,tp,qc,tp,58,qo,ENK,NA,4/1/2015,9/26/2015,5/5/2016,0,0,0.289196359,1/1/2004,0.0831444,qc_tp,0,76,18,24
qc,yr,qc,yr,58,qo,ENK,NA,4/1/2015,9/26/2015,5/5/2016,1,0,0.545633353,5/17/2007,2.602101496,qc_yr,0,77,18,41
qc,yy,qc,yy,58,qo,ENK,NA,4/1/2015,9/26/2015,5/5/2016,0,0,0.063189293,1/22/2009,0.863035744,qc_yy,0,78,18,42
s1,qn,qn,s1,48,qm,ENK,NA,7/11/2015,1/5/2016,7/23/2016,0,0,0.000329531,NA,0.274632395,qn_s1,0,80,21,19
qn,tp,qn,tp,48,qm,ENK,NA,7/11/2015,1/5/2016,7/23/2016,0,0,0.37051831,1/1/2004,1.811450769,qn_tp,0,81,19,24
qn,yr,qn,yr,48,qm,ENK,NA,7/11/2015,1/5/2016,7/23/2016,1,0,0.71575683,5/17/2007,0.088892042,qn_yr,0,82,19,41
qn,yy,qn,yy,48,qm,ENK,NA,7/11/2015,1/5/2016,7/23/2016,0,0,0.263314144,1/22/2009,0.161780382,qn_yy,0,83,19,42
qn,jj,qn,jj,52,qw,ENK,7/11/2015,3/14/2014,9/8/2014,4/13/2015,0,0,0.400476014,11/20/2006,1.165926551,qn_jj,0,79,19,9
qn,s1,qn,s1,52,qw,ENK,7/11/2015,3/14/2014,9/8/2014,4/13/2015,0,0,0.319641448,NA,0.699704018,qn_s1,0,80,19,21
qn,tp,qn,tp,52,qw,ENK,7/11/2015,3/14/2014,9/8/2014,4/13/2015,1,0,0.811563895,1/1/2004,1.51750477,qn_tp,0,81,19,24
qn,yr,qn,yr,52,qw,ENK,7/11/2015,3/14/2014,9/8/2014,4/13/2015,0,1,0.659640131,5/17/2007,0.21779863,qn_yr,0,82,19,41
jj,qp,qp,jj,80,qr,ENK,10/4/2014,8/17/2013,2/11/2014,9/8/2014,0,0,0.045147765,11/20/2006,0.858769567,qp_jj,0,84,9,20
qp,s1,qp,s1,80,qr,ENK,10/4/2014,8/17/2013,2/11/2014,9/8/2014,0,0,0.169016501,NA,1.038349406,qp_s1,0,85,20,21
qp,jj,qp,jj,52,qy,ENK,NA,10/4/2014,3/31/2015,10/3/2015,0,0,0.551350876,11/20/2006,4.171003128,qp_jj,0,84,20,9
qp,s1,qp,s1,52,qy,ENK,NA,10/4/2014,3/31/2015,10/3/2015,0,0,0.218832982,NA,0.598167701,qp_s1,0,85,20,21
qp,tp,qp,tp,52,qy,ENK,NA,10/4/2014,3/31/2015,10/3/2015,1,0,0.519851018,1/1/2004,1.051335112,qp_tp,0,86,20,24
qp,yn,qp,yn,52,qy,ENK,NA,10/4/2014,3/31/2015,10/3/2015,0,0,1,9/24/2005,0,qp_yn,0,87,20,39
qp,yr,qp,yr,52,qy,ENK,NA,10/4/2014,3/31/2015,10/3/2015,0,0,0.701013145,5/17/2007,0.077273703,qp_yr,0,88,20,41
qp,yy,qp,yy,52,qy,ENK,NA,10/4/2014,3/31/2015,10/3/2015,0,0,0.008535307,1/22/2009,0.514419254,qp_yy,0,89,20,42
bt,tr,tr,bt,47,rq,PHG,11/24/2015,3/30/2014,9/24/2014,4/24/2015,1,0,0.860523201,NA,3.718593989,tr_bt,1,90,2,25
tr,jy,tr,jy,47,rq,PHG,11/24/2015,3/30/2014,9/24/2014,4/24/2015,0,0,0.690794465,5/4/2006,1.020584889,tr_jy,1,91,25,10
tr,oz,tr,oz,47,rq,PHG,11/24/2015,3/30/2014,9/24/2014,4/24/2015,0,0,0.852143505,9/18/2006,0.058897794,tr_oz,1,92,25,15
tr,ph,tr,ph,47,rq,PHG,11/24/2015,3/30/2014,9/24/2014,4/24/2015,0,0,0.082844893,9/6/2007,0.239495385,tr_ph,1,93,25,16
tr,pz,tr,pz,47,rq,PHG,11/24/2015,3/30/2014,9/24/2014,4/24/2015,0,0,0.836614773,5/4/2000,0.078136497,tr_pz,1,94,25,17
tr,sn,tr,sn,47,rq,PHG,11/24/2015,3/30/2014,9/24/2014,4/24/2015,0,0,0.702813704,NA,1.54196028,tr_sn,1,95,25,23
tr,xc,tr,xc,47,rq,PHG,11/24/2015,3/30/2014,9/24/2014,4/24/2015,0,0,0.011508168,7/1/2008,0,tr_xc,1,96,25,37
bt,ty,ty,bt,55,ru,PHG,NA,5/29/2015,11/23/2015,7/14/2016,0,0,0.819316539,NA,1.259368095,ty_bt,1,97,2,26
ty,jy,ty,jy,55,ru,PHG,NA,5/29/2015,11/23/2015,7/14/2016,1,0,0.917755039,5/4/2006,3.49224519,ty_jy,1,98,26,10
ty,oz,ty,oz,55,ru,PHG,NA,5/29/2015,11/23/2015,7/14/2016,0,0,0.76559957,9/18/2006,0.082292376,ty_oz,1,99,26,15
ty,ph,ty,ph,55,ru,PHG,NA,5/29/2015,11/23/2015,7/14/2016,0,0,0.576799504,9/6/2007,0,ty_ph,1,100,26,16
ty,pz,ty,pz,55,ru,PHG,NA,5/29/2015,11/23/2015,7/14/2016,0,0,0.743185516,5/4/2000,0.048665669,ty_pz,1,101,26,17
ty,um,ty,um,55,ru,PHG,NA,5/29/2015,11/23/2015,7/14/2016,0,0,0.025234925,5/19/2010,1.795115381,ty_um,1,102,26,31
ty,xh,ty,xh,55,ru,PHG,NA,5/29/2015,11/23/2015,7/14/2016,0,0,0.044501156,6/11/2010,1.248732268,ty_xh,1,103,26,38
jj,ua,ua,jj,43,ah,ENK,9/1/2014,4/21/2013,10/16/2013,3/26/2014,0,0,0,11/20/2006,0.467883468,ua_jj,0,104,9,27
ua,s1,ua,s1,43,ah,ENK,9/1/2014,4/21/2013,10/16/2013,3/26/2014,0,0,0.498797708,NA,0.009234215,ua_s1,0,105,27,21
ua,s3,ua,s3,43,ah,ENK,9/1/2014,4/21/2013,10/16/2013,3/26/2014,0,0,0.278698007,NA,0.001043316,ua_s3,0,106,27,22
ua,sn,ua,sn,43,ah,ENK,9/1/2014,4/21/2013,10/16/2013,3/26/2014,0,0,1,NA,0.066391837,ua_sn,0,107,27,23
ua,tp,ua,tp,43,ah,ENK,9/1/2014,4/21/2013,10/16/2013,3/26/2014,1,0,0.772498425,1/1/2004,3.286232254,ua_tp,0,108,27,24
ua,jj,ua,jj,55,av,ENK,10/24/2015,9/1/2014,2/26/2015,9/21/2015,0,0,0.548707962,11/20/2006,0.158518964,ua_jj,0,104,27,9
ua,s1,ua,s1,55,av,ENK,10/24/2015,9/1/2014,2/26/2015,9/21/2015,0,0,0.27453858,NA,2.126551737,ua_s1,0,105,27,21
ua,tp,ua,tp,55,av,ENK,10/24/2015,9/1/2014,2/26/2015,9/21/2015,0,0,0.535973475,1/1/2004,1.512858749,ua_tp,0,108,27,24
ua,yn,ua,yn,55,av,ENK,10/24/2015,9/1/2014,2/26/2015,9/21/2015,0,0,1,9/24/2005,0,ua_yn,0,109,27,39
ua,yy,ua,yy,55,av,ENK,10/24/2015,9/1/2014,2/26/2015,9/21/2015,0,0,0.003751836,1/22/2009,2.083928051,ua_yy,0,111,27,42
ua,s1,ua,s1,40,xo,ENK,NA,10/24/2015,4/19/2016,9/30/2016,0,0,0,NA,0.900539396,ua_s1,0,105,27,21
