prt1,prt2,momid,partner,infid,sample,dadid,natalto,doc_next_infant,doc_infant,resumecycl,realdad,nextdad,group,dyad,DSI,rDSI,score_cyclf,PHG,dyad_index,prt1_index,prt2_index
oa,oe,oa,oe,kf,19,yn,PHG,12/15/2015,9/17/2014,9/14/2015,0,0,PHG,oaoe,0,0,0.842440405,1,44,10,11
oa,oz,oa,oz,kf,19,yn,PHG,12/15/2015,9/17/2014,9/14/2015,0,0,PHG,oaoz,0,0,0.759265942,1,45,10,14
oa,pz,oa,pz,kf,19,yn,PHG,12/15/2015,9/17/2014,9/14/2015,0,0,PHG,oapz,0,0,0.68237794,1,47,10,16
oa,bt,oa,bt,kf,19,yn,PHG,12/15/2015,9/17/2014,9/14/2015,0,0,PHG,oabt,0,0,0.682881762,1,42,10,2
oa,ph,oa,ph,kf,19,yn,PHG,12/15/2015,9/17/2014,9/14/2015,0,0,PHG,oaph,0,0,0.261946857,1,46,10,15
s1,oo,oo,s1,ak,6,yn,ENK,12/19/2015,9/17/2014,10/6/2015,0,0,ENK,oos1,0,0,0.02686484,0,56,20,12
oo,yy,oo,yy,ak,6,yn,ENK,12/19/2015,9/17/2014,10/6/2015,0,0,ENK,ooyy,0,0,0.01922165,0,60,12,38
oo,jj,oo,jj,ak,6,yn,ENK,12/19/2015,9/17/2014,10/6/2015,0,0,ENK,oojj,0,0,0.233145328,0,51,12,8
oo,tp,oo,tp,ak,6,yn,ENK,12/19/2015,9/17/2014,10/6/2015,0,0,ENK,ootp,0,0,0.396589525,0,57,12,22
oo,yn,oo,yn,ak,6,yn,ENK,12/19/2015,9/17/2014,10/6/2015,1,0,ENK,ooyn,1.943445656,3.886891312,1,0,58,12,36
oo,yr,oo,yr,ak,6,yn,ENK,12/19/2015,9/17/2014,10/6/2015,0,0,ENK,ooyr,0,0,0.55583936,0,59,12,37
oo,oz,oo,oz,as,45,jy,PHG,9/17/2014,3/23/2013,3/6/2014,0,0,PHG,oooz,0.056930237,0.113860474,0.692054132,1,53,12,14
oo,ez,oo,ez,as,45,jy,PHG,9/17/2014,3/23/2013,3/6/2014,0,0,PHG,ooez,0.217772735,0.435545469,0.205040792,1,50,12,5
oo,bt,oo,bt,as,45,jy,PHG,9/17/2014,3/23/2013,3/6/2014,0,0,PHG,oobt,0.035795573,0.071591146,0.826490495,1,49,12,2
oo,pz,oo,pz,as,45,jy,PHG,9/17/2014,3/23/2013,3/6/2014,0,0,PHG,oopz,0.010418445,0.020836891,0.797998199,1,55,12,16
oo,ph,oo,ph,as,45,jy,PHG,9/17/2014,3/23/2013,3/6/2014,0,0,PHG,ooph,0.208843155,0.41768631,0,1,54,12,15
oo,jy,oo,jy,as,45,jy,PHG,9/17/2014,3/23/2013,3/6/2014,1,0,PHG,oojy,0,0,0.576163418,1,52,12,9
sn,oy,oy,sn,kn,51,bt,PHG,7/27/2015,7/12/2013,8/2/2014,0,0,PHG,oysn,0.40262068,0.805241361,0.698051284,1,67,21,13
oy,ph,oy,ph,kn,51,bt,PHG,7/27/2015,7/12/2013,8/2/2014,0,0,PHG,oyph,0.58928091,1.178561821,0.109732762,1,65,13,15
oy,pz,oy,pz,kn,51,bt,PHG,7/27/2015,7/12/2013,8/2/2014,0,0,PHG,oypz,0.213250187,0.426500373,0.839385124,1,66,13,16
oy,xc,oy,xc,kn,51,bt,PHG,7/27/2015,7/12/2013,8/2/2014,0,0,PHG,oyxc,0.208523188,0.417046376,0.022665155,1,68,13,34
oy,oe,oy,oe,kn,51,bt,PHG,7/27/2015,7/12/2013,8/2/2014,0,0,PHG,oyoe,0.399601734,0.799203469,0.885674494,1,63,13,11
oy,jy,oy,jy,kn,51,bt,PHG,7/27/2015,7/12/2013,8/2/2014,0,1,PHG,oyjy,3.059743489,3.909218678,0.750521712,1,62,13,9
oy,oz,oy,oz,kn,51,bt,PHG,7/27/2015,7/12/2013,8/2/2014,0,0,PHG,oyoz,0.03158414,0.06316828,0.861842042,1,64,13,14
oy,bt,oy,bt,kn,51,bt,PHG,7/27/2015,7/12/2013,8/2/2014,1,0,PHG,oybt,1.299704293,2.599408587,0.827579843,1,61,13,2
tp,qc,qc,tp,qo,15,yr,ENK,12/31/2016,4/1/2015,5/16/2016,0,0,ENK,qctp,0.226567134,0.453134269,0.676125965,0,71,22,17
qc,jj,qc,jj,qo,15,yr,ENK,12/31/2016,4/1/2015,5/16/2016,0,0,ENK,qcjj,0,0,0.254301697,0,69,17,8
qc,yy,qc,yy,qo,15,yr,ENK,12/31/2016,4/1/2015,5/16/2016,0,0,ENK,qcyy,0.148052833,0.296105666,0.605218479,0,73,17,38
qc,s1,qc,s1,qo,15,yr,ENK,12/31/2016,4/1/2015,5/16/2016,0,0,ENK,qcs1,0,0,0,0,70,17,20
qc,yr,qc,yr,qo,15,yr,ENK,12/31/2016,4/1/2015,5/16/2016,1,0,ENK,qcyr,7.429681842,0.157028603,0.978408167,0,72,17,37
s1,qn,qn,s1,qm,6,yr,ENK,12/31/2016,7/11/2015,7/23/2016,0,0,ENK,qns1,0,0,0,0,75,20,18
qn,yy,qn,yy,qm,6,yr,ENK,12/31/2016,7/11/2015,7/23/2016,0,0,ENK,qnyy,2.622157782,2.355426098,0.627378889,0,79,18,38
qn,tp,qn,tp,qm,6,yr,ENK,12/31/2016,7/11/2015,7/23/2016,0,0,ENK,qntp,3.085174206,0.392571213,0.689904191,0,76,18,22
qn,yr,qn,yr,qm,6,yr,ENK,12/31/2016,7/11/2015,7/23/2016,1,0,ENK,qnyr,0,0,0.969344929,0,78,18,37
qn,yn,qn,yn,qw,9,tp,ENK,7/11/2015,3/14/2014,4/14/2015,0,0,ENK,qnyn,0,0,1,0,77,18,36
qn,yr,qn,yr,qw,9,tp,ENK,7/11/2015,3/14/2014,4/14/2015,0,1,ENK,qnyr,0.620646257,1.241292513,0.689414194,0,78,18,37
qn,yy,qn,yy,qw,9,tp,ENK,7/11/2015,3/14/2014,4/14/2015,0,0,ENK,qnyy,0.25171706,0.50343412,0,0,79,18,38
qn,jj,qn,jj,qw,9,tp,ENK,7/11/2015,3/14/2014,4/14/2015,0,0,ENK,qnjj,2.282383381,4.564766762,0.568633209,0,74,18,8
qn,s1,qn,s1,qw,9,tp,ENK,7/11/2015,3/14/2014,4/14/2015,0,0,ENK,qns1,0,0,0.303473892,0,75,18,20
qn,tp,qn,tp,qw,9,tp,ENK,7/11/2015,3/14/2014,4/14/2015,1,0,ENK,qntp,2.629015289,3.332104556,0.535762028,0,76,18,22
yy,qp,qp,yy,qy,9,tp,ENK,12/21/2015,10/4/2014,10/5/2015,0,0,ENK,qpyy,1.049997662,0.786795038,0.019896045,0,85,38,19
qp,jj,qp,jj,qy,9,tp,ENK,12/21/2015,10/4/2014,10/5/2015,0,0,ENK,qpjj,17.42500412,7.2906366,0.233039494,0,80,19,8
qp,yn,qp,yn,qy,9,tp,ENK,12/21/2015,10/4/2014,10/5/2015,0,0,ENK,qpyn,0,0,1,0,83,19,36
qp,s1,qp,s1,qy,9,tp,ENK,12/21/2015,10/4/2014,10/5/2015,0,0,ENK,qps1,0,0,0.026821912,0,81,19,20
qp,yr,qp,yr,qy,9,tp,ENK,12/21/2015,10/4/2014,10/5/2015,0,0,ENK,qpyr,0,0,0.556505248,0,84,19,37
qp,tp,qp,tp,qy,9,tp,ENK,12/21/2015,10/4/2014,10/5/2015,1,0,ENK,qptp,0.750766613,1.501533226,0.395383353,0,82,19,22
ph,tr,tr,ph,rq,17,bt,PHG,11/24/2015,3/30/2014,4/24/2015,0,0,PHG,trph,0,0,0.233659587,1,89,15,23
tr,sn,tr,sn,rq,17,bt,PHG,11/24/2015,3/30/2014,4/24/2015,0,0,PHG,trsn,0.308744257,0.617488515,0.638963742,1,91,23,21
tr,pz,tr,pz,rq,17,bt,PHG,11/24/2015,3/30/2014,4/24/2015,0,0,PHG,trpz,0.094752822,0.189505644,0.769944679,1,90,23,16
tr,jy,tr,jy,rq,17,bt,PHG,11/24/2015,3/30/2014,4/24/2015,0,0,PHG,trjy,4.567295329,4.513287614,0.98957771,1,87,23,9
tr,xc,tr,xc,rq,17,bt,PHG,11/24/2015,3/30/2014,4/24/2015,0,0,PHG,trxc,0,0,0.001143764,1,92,23,34
tr,oz,tr,oz,rq,17,bt,PHG,11/24/2015,3/30/2014,4/24/2015,0,0,PHG,troz,0,0,0.88484225,1,88,23,14
tr,bt,tr,bt,rq,17,bt,PHG,11/24/2015,3/30/2014,4/24/2015,1,0,PHG,trbt,0.189505644,0.379011289,0.71597648,1,86,23,2
pz,ty,ty,pz,ru,2,jy,PHG,12/31/2016,5/29/2015,7/14/2016,0,0,PHG,typz,0,0,0.815699905,1,97,16,24
ty,bt,ty,bt,ru,2,jy,PHG,12/31/2016,5/29/2015,7/14/2016,0,0,PHG,tybt,0,0,0.840350356,1,93,24,2
ty,um,ty,um,ru,2,jy,PHG,12/31/2016,5/29/2015,7/14/2016,0,0,PHG,tyum,12.11957513,0,0.075999033,1,99,24,28
