prt1,prt2,momid,partner,infid,samples,nextdad,realdad,momgrp,doc_infant,dob_infant,group,score_preg,DSI,dyad,PHG,dyad_index,prt1_index,prt2_index
qc,s1,qc,s1,qo,46,0,0,ENK,4/1/2015,9/26/2015,ENK,0.226244988,0.028497737,qc_s1,0,61,18,21
qc,tp,qc,tp,qo,46,0,0,ENK,4/1/2015,9/26/2015,ENK,0.522026368,0.131069081,qc_tp,0,62,18,23
qc,yn,qc,yn,qo,46,0,0,ENK,4/1/2015,9/26/2015,ENK,1,0.056995473,qc_yn,0,63,18,35
qc,yr,qc,yr,qo,46,0,1,ENK,4/1/2015,9/26/2015,ENK,0.704580957,5.863030974,qc_yr,0,64,18,37
qc,yy,qc,yy,qo,46,0,0,ENK,4/1/2015,9/26/2015,ENK,0.005866257,1.104389267,qc_yy,0,65,18,38
jj,qn,qn,jj,qm,38,0,0,ENK,7/11/2015,1/5/2016,ENK,0.382800307,0.767651378,qn_jj,0,66,9,19
qn,s1,qn,s1,qm,38,0,0,ENK,7/11/2015,1/5/2016,ENK,0.058946717,2.545026368,qn_s1,0,67,19,21
qn,tp,qn,tp,qm,38,0,0,ENK,7/11/2015,1/5/2016,ENK,0.439238467,0.207167718,qn_tp,0,68,19,23
qn,yr,qn,yr,qm,38,0,1,ENK,7/11/2015,1/5/2016,ENK,0.632304317,0.315753095,qn_yr,0,69,19,37
qn,yy,qn,yy,qm,38,0,0,ENK,7/11/2015,1/5/2016,ENK,0.021914076,0.961974449,qn_yy,0,70,19,38
qn,jj,qn,jj,qw,67,0,0,ENK,3/14/2014,9/8/2014,ENK,0.052966651,2.3100237,qn_jj,0,66,19,9
qn,s1,qn,s1,qw,67,0,0,ENK,3/14/2014,9/8/2014,ENK,0.117664879,0.020012171,qn_s1,0,67,19,21
qn,tp,qn,tp,qw,67,0,1,ENK,3/14/2014,9/8/2014,ENK,0.702578685,3.383269511,qn_tp,0,68,19,23
jj,qp,qp,jj,qr,20,0,0,ENK,8/17/2013,2/11/2014,ENK,0,0.872166957,qp_jj,0,71,9,20
qp,s1,qp,s1,qr,20,0,0,ENK,8/17/2013,2/11/2014,ENK,0.464263705,0.065544811,qp_s1,0,72,20,21
