dadid,natalto,group_next,lact_residence,nextsire,nmales,doc_next_infant,doc_infant,dob_infant,day_resumecycle,realdad,nextdad,momid,partner,inf,score_lac,male_dob,score_doc,male_dob_est,age_doc,cf_DSI,cf_rDSI,l_DSI,score_doc30,res_status_next,dyad,mom,partner,inf,realdad,score_doc30
oe,PHG,PHG,PHG,oz,8,7/21/2015,5/23/2014,11/17/2014,4/29/2015,0,0,ph,fd,gj,0.114259562,9/6/2007,0.203445084,9/6/2007,7.871321013,0,0,0.226751692,0.221738093,1,fd ph,,,,,
oe,PHG,PHG,PHG,oz,8,7/21/2015,5/23/2014,11/17/2014,4/29/2015,0,0,pz,fd,gj,0.862168205,5/4/2000,0.734293697,5/4/2000,15.21149897,1.43651207,2.873024139,9.344864632,0.80938232,1,fd pz,,,,,
oe,PHG,PHG,PHG,oz,8,7/21/2015,5/23/2014,11/17/2014,4/29/2015,0,0,sn,fd,gj,0.723836131,NA,0.690037038,6/30/2001,14.05612594,0,0,0,0.709732997,1,fd sn,,,,,
oe,PHG,PHG,PHG,oz,8,7/21/2015,5/23/2014,11/17/2014,4/29/2015,0,0,xc,fd,gj,0.002596941,7/1/2008,0,7/1/2008,7.052703628,0,0,0.095593541,2.53E-19,1,fd xc,,,,,
jy,PHG,PHG,PHG,bt,9,10/24/2015,6/23/2014,12/18/2014,8/26/2015,0,0,fx,oe,gn,0.826961149,10/30/2004,0.890035415,10/30/2004,10.98151951,0.901466996,1.802933992,NA,0.787508304,1,fx oe,,,,,
jy,PHG,PHG,PHG,bt,9,10/24/2015,6/23/2014,12/18/2014,8/26/2015,0,0,fx,oz,gn,0.921296647,9/18/2006,0.737615097,9/18/2006,9.097878166,0.661784186,1.323568371,0.04994879,0.823919688,1,fx oz,,,,,
jy,PHG,PHG,PHG,bt,9,10/24/2015,6/23/2014,12/18/2014,8/26/2015,0,0,fx,ph,gn,0.182282195,9/6/2007,0.288526306,9/6/2007,8.131416838,0,0,1.079326481,0.265692111,1,fx ph,,,,,
jy,PHG,PHG,PHG,bt,9,10/24/2015,6/23/2014,12/18/2014,8/26/2015,0,0,fx,pz,gn,0.851890589,5/4/2000,0.788388152,5/4/2000,15.4715948,0,0,0.215895025,0.731231137,1,fx pz,,,,,
jy,PHG,PHG,PHG,bt,9,10/24/2015,6/23/2014,12/18/2014,8/26/2015,0,0,fx,sn,gn,0.724002447,NA,0.558041989,6/30/2001,14.31622177,0.642648339,1.285296679,0.310566701,0.502068604,1,fx sn,,,,,
jy,PHG,PHG,PHG,bt,9,10/24/2015,6/23/2014,12/18/2014,8/26/2015,0,0,fx,xc,gn,0,7/1/2008,0.00826016,7/1/2008,7.312799452,0,0,0.186008654,0.004479499,1,fx xc,,,,,
